Author,URL,Title,Abstract,Keywords,Citations,Affiliation,Year,PictureURL
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,Designing price contracts for procurement and marketing of industrial equipment,A durable goods contract typically specifies a price determination process  which is an integral part of  rules of the game  that govern the exchange between the contracting parties  Drawing on principles of new institutional economics  these contractual price processes are arrayed on a flexibility continuum ranging from predetermination through redetermination to renegotiation  A well designed contract specifies a price process that is aligned in a discriminating fashion with the two fundamental problems of efficient exchange adapting to changed circumstances  while simultaneously safeguarding against opportunism  A simple but effective price design rule is as follows  Greater adaptation needs call for moving away from predetermination processes toward renegotiation processes  while increased opportunism hazards call for moving in the opposite direction  The proper balance is illustrated with two cases  ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2017,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,error,error,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2016,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,error,error,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2013,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,error,error,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2013,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,Is Cash King  A Field Experiment on Mental Accounting in a Salesforce,The fungibility of money  along with its function as a medium of exchange  gives monetary transactions pride of place in neoclassical theories of economics  However  a growing number of laboratory studies and anecdotal field evidence  appealing to theories of mental accounting  have shown that consumers  willingness to spend an additional unit of wealth depends upon the sources and categories of wealth  thus throwing serious doubt on the presumed fungibility of cash  This paper attempts to examine the notion of money fungibility in the context of salesperson effort  Given that firms desire to design the least cost pay basket to evoke a given level of effort  it is important to i  identify whether salespersons differ in their response to disparate forms of compensation  ii  quantify the impact of different sources of wealth  and iii  explore the underlying mechanisms at play  We seek to achieve the above objectives using a multi method empirical approach  In particular  we use a field intervention  reduced form estimation to derive initial insights from the intervention  a structural model to uncover the differential response to cash versus non cash compensation  We also implement a survey of our salespeople to pinpoint the precursors of separate budgets  We find converging evidence that salespeople maintain separate accounts for cash and non cash bonuses  dispelling the neo classical expectation that favors cash as king ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2013,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,Progress and prospects for governance value analysis in marketing  when Porter meets Williamson,Firms rarely create value in isolation  and cooperation between firms has become so pervasive that it has fundamentally reshaped the field of marketing strategy  Webster       p      Indeed  such cooperation and coordination between firms has been fundamental to the successes of many prominent companies in a variety of channels contexts  including business format franchising  eg McDonald s  Coca Cola   original equipment manufacturers  OEMs  and supplier relationships  eg Toyota and its Keiretsu system   industrial distribution  eg Caterpillar s dealer network  and the PC industry  eg the Wintel systems of Microsoft and Intel   to name a few  In accordance with this shift  increasing attention has been paid by academicians to understand the design and management of relationships between B B companies in a variety of marketing contexts  including industrial purchasing  channel relationships  international market entry and so on  During the past    years  transaction cost analysis  TCA  has been the most dominant framework used to analyze these and related issues  Since the pioneering work of the Nobel Prize winning economists Ronald Coase and Oliver Williamson  the focus of TCA has been to understand how firms structure their formal as well as informal relationships with other value chain partners  eg suppliers  distributors  customers  and their rationale for these choices  TCA argues that the central role of governance in an exchange is to provide safeguards and foster adaptation with the purpose of curbing potential conflict between parties to an exchange that could undermine opportunities to realize mutually beneficial gains  ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2012,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,Economic impact of category captaincy  an examination of assortments and prices ,Vertical arrangements like  Category Captaincy  and  Slotting fees  involve transactions on both price and non price aspects  such as shelf space allocations and assortments  and are becoming increasingly popular in retail markets  Given the financial scope and magnitude of the retail sector  such arrangements can have a disproportionately large impact on consumers and on the competitive landscape  Not surprisingly  they have been the subject of much scrutiny from industry practitioners and public policy experts  However  empirical work concerning these practices have been hampered by i  the difficulty in obtaining detailed data on these arrangements  and ii  the difficulty in developing models that can examine both price and non price aspects of these arrangements  while accounting for horizontal competition between manufacturers and vertical interactions between manufacturers and retailers  In this paper  I attempt to address the challenges above in the context of Category Captaincy  an arrangement where the retailer works exclusively with a manufacturer to manage both the manufacturer s and his rivals  products  and its impact on assortments and prices  I develop an empirical model of demand and supply to model assortment decisions under various category captain arrangements  I use a unique dataset for the frozen pizza category  that contains information on category captaincy across    retail chains and   local markets in the United States  in addition to retail movement data  I discuss three potential welfare effects that occur under category captaincy  An efficiency effect occurs if captaincy lowers upfront cost per SKU compared  ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2012,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,Transaction cost analysis in marketing  looking back  moving forward,Contributions to the theory and application of the Williamson s transaction cost framework by scholars in Marketing are reviewed  From its initial appearance in the late     s  the Williamsonian approach has moved from a theoretical curiosity to the workhorse model in one subfield of marketing  viz  channels  Possible reasons for this success are traced here  The consistent empirical support for the core model  its applicability to a broad range of managerially relevant problems  its successes in horse races against competing theories  and its co existence with complementary theories are unpacked  The paper closes with speculation about future trends about transaction cost analysis in marketing   div   div ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2010,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,error,error,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2010,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
John G. Carlson,https://scholar.google.com/citations?user=0Vp-gvoAAAAJ,When should original equipment manufacturers use branded component contracts with suppliers ,Branded components are becoming increasingly popular in industrial markets  yet extant research provides limited understanding of the use of such arrangements in the real world  The authors use the governance lens of transaction cost economics to propose that leveraging the vendor s brand reputation and safeguarding the vendor s customization investments are key motivators for choosing branded component contracts  Data on     contracts from three engineering intensive industry sectors provide support to the authors  hypotheses  The authors find that firms are more likely to choose branded component contracts when the supplier s brand name adds significant differentiation  leveraging  and when the component supplier has made significant component customization investments  safeguarding   This safeguarding motivation is relevant even to suppliers with modest brand reputation  The authors also  ,Marketing Channels/Marketing Strategy/Business to Business Marketing,18098,Professor of Marketing  Carlson School of Management  University of Minnesota,2009,https://scholar.google.com/citations?view_op=medium_photo&user=0Vp-gvoAAAAJ
