Name,URL
Guido Noto La Diega,https://scholar.google.com/citations?user=B3U7yvcAAAAJ&hl=it
Rossana Ducato,https://scholar.google.com/citations?user=JnkeH28AAAAJ&hl=it
Martin Kretschmer,https://scholar.google.co.uk/citations?user=sbcJOSoAAAAJ&hl=en
Marta Iljadica,https://scholar.google.co.uk/citations?user=JXTpQXIAAAAJ&hl=en
Israel Cedillo Lazcano,https://scholar.google.com.mx/citations?user=SPrHADoAAAAJ&hl=en
Dr Lachlan Urquhart,https://scholar.google.co.uk/citations?user=o2gCskMAAAAJ&hl=en
Mariela de Amstalden,https://scholar.google.ch/citations?user=IoKBsjcAAAAJ&hl=en
Jade Kouletakis,https://scholar.google.com/citations?user=uE1oO1gAAAAJ&hl=en
"Irene Couzigou, PhD, LLM",https://scholar.google.com/citations?user=vNvRYksAAAAJ&hl=en
Patricia Živković,https://scholar.google.com/citations?user=wIFFAosAAAAJ&hl=en
Emma Milne,https://scholar.google.co.uk/citations?user=iStd81MAAAAJ&hl=en
C William R Webster,https://scholar.google.co.uk/citations?user=mdypkb4AAAAJ&hl=en
Péter Cserne,https://scholar.google.com/citations?user=qlvq1lwAAAAJ&hl=en
Dr Mo Egan,https://scholar.google.co.uk/citations?user=6o0j57EAAAAJ&hl=en
Lilian Edwards,https://scholar.google.com/citations?user=a6-onLoAAAAJ&hl=en
Matthew Jewell,https://scholar.google.co.uk/citations?user=OkUv-F4AAAAJ&hl=en
Laurence Diver,https://scholar.google.co.uk/citations?user=9L-xODcAAAAJ&hl=en
Gianluca Andresani,https://scholar.google.com/citations?user=poIiHR0AAAAJ&hl=en
Burkhard Schafer,https://scholar.google.com/citations?user=vD2DRqoAAAAJ&hl=en
Paolo Cavaliere,https://scholar.google.com/citations?user=HOYJ86sAAAAJ&hl=en
